Regime,Temperature,Fecundity,Generation
Ad,13,-20.51388889,6
Ad,18,-67.91485507,6
Ad,23,-93.66252588,6
Gro,13,-17.45833333,6
Gro,18,-49.54166667,6
Gro,23,-66.33152174,6
Mo,13,-23.90277778,6
Mo,18,-105.0797101,6
Mo,23,-133.1805556,6
Ad,13,-7.196078431,14
Ad,18,-34.47058824,14
Ad,23,-46.24836601,14
Gro,13,-9.098039216,14
Gro,18,-45.7875817,14
Gro,23,-34.39978214,14
Mo,13,-10.50326797,14
Mo,18,-46.47276688,14
Mo,23,-44.85294118,14
Ad,13,-2.597222222,28
Ad,18,-26.11111111,28
Ad,23,-29.21977124,28
Gro,13,-3.31372549,28
Gro,18,-24.88779956,28
Gro,23,-16.90958606,28
Mo,13,-4.092592593,28
Mo,18,-30.36955338,28
Mo,23,-39.77559913,28
